GN	41.223.51.122:8080
SE	95.128.113.35:80
SE	94.136.95.150:8080
CN	122.193.14.104:80
CN	124.88.67.17:80
FR	91.121.143.225:8080
FR	176.31.96.198:8080
EG	193.227.49.83:3128
EG	41.39.145.218:8080
IT	86.105.48.250:3128
IT	164.132.28.153:3128
CA	47.88.189.216:3128
CA	47.88.195.233:3128
MO	202.171.253.72:80
UA	91.202.75.78:3128
UA	46.219.78.221:8081
CL	200.68.27.100:3128
CL	200.54.180.226:80
NG	41.242.93.14:8080
NG	41.204.224.158:8080
LT	86.100.118.44:80
LT	46.251.43.157:21320
BR	201.7.216.85:3128
BR	201.55.46.6:80
AR	190.189.237.106:8080
AR	191.84.177.173:3128
CZ	185.28.193.95:8080
CZ	89.203.187.2:8080
AZ	94.20.21.38:8888
AZ	94.20.21.38:3128
VN	123.30.238.16:3128
VN	103.18.4.13:9000
HK	218.191.25.9:80
HK	203.88.166.141:3128
PL	79.188.42.46:8080
PL	178.218.232.232:8080
IN	118.151.209.114:80
IN	115.249.2.192:8080
KR	112.214.73.253:80
KR	211.55.59.245:3128
DE	5.189.135.39:3128
DE	37.5.164.129:80
US	45.55.62.222:8080
US	138.68.152.51:8080
GB	163.172.130.101:3128
GB	163.172.187.162:666
DZ	193.194.69.36:3128
TH	118.172.18.113:8080
TH	122.155.3.143:3128
MY	203.223.143.51:8080
MY	202.188.101.232:3128
DK	5.103.136.90:8080
JP	160.202.42.114:8080
JP	203.136.135.84:80
TW	36.233.170.13:8998
TW	118.161.75.129:8888
TN	197.5.128.248:8080
TN	197.5.128.1:8080
ID	110.232.83.118:8080
ID	182.253.130.53:3128
RU	46.228.10.20:3128
RU	151.248.115.87:8118
CO	152.231.29.163:8080
CO	191.102.113.166:8080
TR	88.225.232.158:8080
TR	185.86.6.152:7535
SG	128.199.135.23:3128
SG	128.199.188.28:8080
LB	62.84.66.39:37973
LB	185.84.107.19:8080
NL	62.45.248.11:80
NL	94.209.99.35:80
PA	200.46.94.202:3128
PA	200.46.86.66:3128
